"filename", "language", "JSON", "TypeScript", "JavaScript", "Ignore", "JSON with Comments", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteImage.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteImage.controller.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteReview.controller.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 7, 1, 73
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteUser.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteUser.controller.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editReview.controller.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editUser.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editUser.controller.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 5, 1, 104
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getAllHotels.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getAllHotels.controller.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostAllReservations.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostAllReservations.controller.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 1, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostEarnings.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostEarnings.controller.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostHotels.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostHotels.controller.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 2, 1, 67
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostStats.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostStats.controller.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostTodayCheckin.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
